name,calories,protein,carbs,fat,price,category,flavor_tags,source,serving_grams
铁板牛肉,420.0,32.0,12.0,28.0,22.0,荤菜,"咸,香",中国食物成分表第6版,200
大盘鸡,380.0,26.0,22.0,24.0,18.0,荤菜,"辣,咸",中国食物成分表第6版,300
红烧排骨,430.0,20.0,15.0,32.0,15.0,荤菜,"咸,甜",中国食物成分表第6版,200
干锅花菜,160.0,5.0,14.0,10.0,8.0,素菜,"辣,咸",中国食物成分表第6版,200
蚝油生菜,60.0,3.0,6.0,3.0,5.0,素菜,"咸,清淡",中国食物成分表第6版,150
蒜蓉油麦菜,70.0,3.0,6.0,4.0,5.0,素菜,清淡,中国食物成分表第6版,150
上汤娃娃菜,80.0,4.0,8.0,3.0,6.0,素菜,清淡,中国食物成分表第6版,250
凉拌海带丝,60.0,2.0,10.0,2.0,4.0,素菜,酸辣,中国食物成分表第6版,150
椒盐土豆片,180.0,3.0,24.0,9.0,6.0,素菜,"椒盐,咸",中国食物成分表第6版,200
清炒西葫芦,60.0,2.0,8.0,3.0,4.0,素菜,清淡,中国食物成分表第6版,150
蒜蓉粉丝娃娃菜,100.0,4.0,12.0,4.0,6.0,素菜,"咸,清淡",中国食物成分表第6版,250
海带排骨汤,160.0,12.0,8.0,9.0,8.0,汤,"咸,清淡",中国食物成分表第6版,300
玉米胡萝卜汤,110.0,5.0,15.0,3.0,5.0,汤,"甜,清淡",中国食物成分表第6版,300
菌菇鸡汤,120.0,10.0,8.0,5.0,8.0,汤,"咸,清淡",中国食物成分表第6版,300
酸辣鸭血汤,100.0,7.0,6.0,6.0,5.0,汤,"酸,辣",中国食物成分表第6版,300
鱼丸汤,110.0,9.0,8.0,5.0,6.0,汤,"咸,清淡",中国食物成分表第6版,300
牛肉面,420.0,20.0,55.0,12.0,14.0,主食,"咸,香",中国食物成分表第6版,450
螺蛳粉,500.0,15.0,70.0,18.0,13.0,主食,"酸辣,臭",中国食物成分表第6版,450
麻辣烫,380.0,20.0,35.0,18.0,15.0,主食,"辣,麻",中国食物成分表第6版,500
兰州拉面,400.0,18.0,60.0,10.0,13.0,主食,"咸,清淡",中国食物成分表第6版,450
煎饼果子,350.0,12.0,40.0,16.0,8.0,主食,"咸,脆",中国食物成分表第6版,200
肉夹馍,380.0,18.0,40.0,17.0,10.0,主食,"咸,香",中国食物成分表第6版,250
扬州炒饭,420.0,12.0,55.0,17.0,10.0,主食,"咸,香",中国食物成分表第6版,300
酸汤水饺,300.0,14.0,40.0,10.0,12.0,主食,酸辣,中国食物成分表第6版,300
鸡排饭,550.0,26.0,70.0,16.0,18.0,主食,"咸,香",中国食物成分表第6版,500
火龙果,60.0,1.1,13.0,0.4,6.0,水果,甜,中国食物成分表第6版,300
草莓,32.0,1.0,7.0,0.3,8.0,水果,酸甜,中国食物成分表第6版,150
蓝莓,57.0,0.7,14.0,0.3,10.0,水果,酸甜,中国食物成分表第6版,125
猕猴桃,61.0,1.1,14.0,0.6,5.0,水果,酸甜,中国食物成分表第6版,100
珍珠奶茶,280.0,2.0,45.0,10.0,8.0,饮品,甜,中国食物成分表第6版,500
美式咖啡,5.0,0.3,0.5,0.1,10.0,饮品,苦,中国食物成分表第6版,300
拿铁咖啡,180.0,6.0,18.0,8.0,15.0,饮品,"奶香,苦",中国食物成分表第6版,350
鲜榨橙汁,110.0,1.5,26.0,0.3,8.0,饮品,酸甜,中国食物成分表第6版,300
椰汁,90.0,2.0,12.0,4.0,6.0,饮品,甜,中国食物成分表第6版,300
酸奶,120.0,3.0,15.0,5.0,5.0,饮品,酸甜,中国食物成分表第6版,200
柠檬气泡水,60.0,0.0,15.0,0.1,6.0,饮品,酸甜,中国食物成分表第6版,500
蜂蜜柚子茶,90.0,0.5,22.0,0.1,7.0,饮品,甜,中国食物成分表第6版,400
